date,511090.SH,515080.SH,159980.SZ,159985.SZ,501018.SH,510300.SH,513100.SH,159920.SZ,518880.SH,511260.SH
2023-06-13,20000.0,10000.0,3000.0,3000.0,4000.0,10000.0,10000.0,10000.0,10000.0,20000.0
2023-07-03,20142.21,10071.1,3021.33,3021.33,4028.44,10071.1,10071.1,10071.1,10071.1,20142.21
2023-08-01,20668.52,10334.26,3100.28,3100.28,4133.7,10334.26,10334.26,10334.26,10334.26,20668.52
2023-09-01,20566.13,10283.07,3084.92,3084.92,4113.23,10283.07,10283.07,10283.07,10283.07,20566.13
2023-10-09,20237.22,10118.61,3035.58,3035.58,4047.44,10118.61,10118.61,10118.61,10118.61,20237.22
2023-11-01,20105.56,10052.78,3015.83,3015.83,4021.11,10052.78,10052.78,10052.78,10052.78,20105.56
2023-12-01,20069.15,10034.57,3010.37,3010.37,4013.83,10034.57,10034.57,10034.57,10034.57,20069.15
2024-01-02,20211.76,10105.88,3031.76,3031.76,4042.35,10105.88,10105.88,10105.88,10105.88,20211.76
2024-02-01,20201.74,10100.87,3030.26,3030.26,4040.35,10100.87,10100.87,10100.87,10100.87,20201.74
2024-03-01,20937.61,10468.8,3140.64,3140.64,4187.52,10468.8,10468.8,10468.8,10468.8,20937.61
2024-04-01,21394.52,10697.26,3209.18,3209.18,4278.9,10697.26,10697.26,10697.26,10697.26,21394.52
2024-05-06,21697.77,10848.88,3254.67,3254.67,4339.55,10848.88,10848.88,10848.88,10848.88,21697.77
2024-06-03,21846.55,10923.28,3276.98,3276.98,4369.31,10923.28,10923.28,10923.28,10923.28,21846.55
2024-07-01,21996.82,10998.41,3299.52,3299.52,4399.36,10998.41,10998.41,10998.41,10998.41,21996.82
2024-08-01,21942.01,10971.0,3291.3,3291.3,4388.4,10971.0,10971.0,10971.0,10971.0,21942.01
2024-09-02,21653.59,10826.79,3248.04,3248.04,4330.72,10826.79,10826.79,10826.79,10826.79,21653.59
2024-10-08,23211.5,11605.75,3481.72,3481.72,4642.3,11605.75,11605.75,11605.75,11605.75,23211.5
2024-11-01,22908.3,11454.15,3436.25,3436.25,4581.66,11454.15,11454.15,11454.15,11454.15,22908.3
2024-12-02,23126.04,11563.02,3468.91,3468.91,4625.21,11563.02,11563.02,11563.02,11563.02,23126.04
2025-01-02,23729.28,11864.64,3559.39,3559.39,4745.86,11864.64,11864.64,11864.64,11864.64,23729.28
2025-02-05,24029.91,12014.95,3604.49,3604.49,4805.98,12014.95,12014.95,12014.95,12014.95,24029.91
2025-03-03,24161.88,12080.94,3624.28,3624.28,4832.38,12080.94,12080.94,12080.94,12080.94,24161.88
2025-04-01,24127.49,12063.75,3619.12,3619.12,4825.5,12063.75,12063.75,12063.75,12063.75,24127.49
2025-05-06,24283.77,12141.89,3642.57,3642.57,4856.75,12141.89,12141.89,12141.89,12141.89,24283.77
2025-06-03,24483.47,12241.73,3672.52,3672.52,4896.69,12241.73,12241.73,12241.73,12241.73,24483.47
2025-07-01,24831.22,12415.61,3724.68,3724.68,4966.24,12415.61,12415.61,12415.61,12415.61,24831.22
2025-08-01,25068.36,12534.18,3760.25,3760.25,5013.67,12534.18,12534.18,12534.18,12534.18,25068.36
2025-09-01,25419.0,12709.5,3812.85,3812.85,5083.8,12709.5,12709.5,12709.5,12709.5,25419.0
2025-10-09,26119.2,13059.6,3917.88,3917.88,5223.84,13059.6,13059.6,13059.6,13059.6,26119.2
2025-11-03,26424.54,13212.27,3963.68,3963.68,5284.91,13212.27,13212.27,13212.27,13212.27,26424.54
2025-12-01,26194.2,13097.1,3929.13,3929.13,5238.84,13097.1,13097.1,13097.1,13097.1,26194.2
