date,portfolio_value
2023-06-13,100000.0
2023-06-14,100031.77914535016
2023-06-15,100251.796849906
2023-06-16,100360.20211806266
2023-06-19,100137.55609079599
2023-06-20,99998.50613286994
2023-06-21,99811.85518838615
2023-06-26,99256.49471816405
2023-06-27,99423.80641750108
2023-06-28,99584.02934932611
2023-06-29,99559.53135054847
2023-06-30,99818.31348990477
2023-07-03,100711.04305958164
2023-07-04,100573.2722630836
2023-07-05,100430.54413240896
2023-07-06,100209.10675620189
2023-07-07,100055.98566380008
2023-07-10,100105.3726172902
2023-07-11,100404.63905711105
2023-07-12,100479.10548464594
2023-07-13,101260.26417132856
2023-07-14,101312.42644884637
2023-07-17,101136.3821616236
2023-07-18,101290.07034666366
2023-07-19,101818.04586304151
2023-07-20,101545.19582731967
2023-07-21,101470.11125564636
2023-07-24,101296.77363474733
2023-07-25,102059.06556031179
2023-07-26,102138.38894163718
2023-07-27,102495.33996073672
2023-07-28,102879.17292313575
2023-07-31,103242.8697160059
2023-08-01,103342.62155595457
2023-08-02,102874.82082408428
2023-08-03,102752.31600060509
2023-08-04,102946.59422957498
2023-08-07,102741.06258196464
2023-08-08,102500.51414220102
2023-08-09,102546.83008501052
2023-08-10,102542.30441696422
2023-08-11,102151.24948013054
2023-08-14,101957.45461623133
2023-08-15,102463.21714508312
2023-08-16,102096.76401686353
2023-08-17,102111.72863336062
2023-08-18,101600.75043561881
2023-08-21,101646.21985775557
2023-08-22,101828.9399235796
2023-08-23,101671.13674781549
2023-08-24,102162.65182065031
2023-08-25,101686.25074054002
2023-08-28,102207.41491980801
2023-08-29,102458.76222747602
2023-08-30,102765.67068149062
2023-08-31,102670.23464484583
2023-09-01,102830.6565359683
2023-09-04,103179.15596940025
2023-09-05,102956.8615420163
2023-09-06,102949.08516282753
2023-09-07,102499.29049896493
2023-09-08,102421.57109578414
2023-09-11,102514.58119578823
2023-09-12,102581.00729083388
2023-09-13,102471.26572762028
2023-09-14,102872.40267848896
2023-09-15,102934.31175574931
2023-09-18,102490.63749986928
2023-09-19,102517.47555945461
2023-09-20,102491.92259094039
2023-09-21,101910.79256424113
2023-09-22,102183.02932038288
2023-09-25,101929.66561894867
2023-09-26,101544.09356661991
2023-09-27,101481.94205059942
2023-09-28,101430.61193224214
2023-10-09,101186.10720473726
2023-10-10,100882.75562440211
2023-10-11,100951.3053540363
2023-10-12,101466.10192459193
2023-10-13,101291.10226545049
2023-10-16,101316.5951540033
2023-10-17,101456.21124491376
2023-10-18,101420.42847692467
2023-10-19,100652.74792457721
2023-10-20,100669.47657613434
2023-10-23,100097.3971153843
2023-10-24,100165.4894600205
2023-10-25,100284.24410164494
2023-10-26,100121.41196001504
2023-10-27,100574.90272951926
2023-10-30,100624.0087293393
2023-10-31,100441.96376032257
2023-11-01,100527.77993476964
2023-11-02,100900.8676517508
2023-11-03,101345.86147170738
2023-11-06,101633.68089726388
2023-11-07,101357.89535757994
2023-11-08,101212.22138182783
2023-11-09,101275.50447951816
2023-11-10,100965.78932806451
2023-11-13,101254.81082158
2023-11-14,101467.53263378715
2023-11-15,102071.74620941232
2023-11-16,101773.02856342852
2023-11-17,101434.14054440304
2023-11-20,101313.90473007326
2023-11-21,101449.26228056883
2023-11-22,101064.67658484401
2023-11-23,101141.5235009816
2023-11-24,101024.50340888344
2023-11-27,100798.04998802858
2023-11-28,100873.08334268411
2023-11-29,100550.55077554821
2023-11-30,100748.96016550809
2023-12-01,100345.7378793248
2023-12-04,100174.97622069789
2023-12-05,99366.48516090694
2023-12-06,99619.82812798728
2023-12-07,99377.8384856377
2023-12-08,99677.22815428254
2023-12-11,99897.73274893127
2023-12-12,100089.44746101742
2023-12-13,99734.23117403964
2023-12-14,99984.32367784616
2023-12-15,100157.7657836022
2023-12-18,100183.68826262964
2023-12-19,100229.83446806592
2023-12-20,100302.20887639798
2023-12-21,100338.58333101003
2023-12-22,100385.34519404742
2023-12-25,100572.21431085329
2023-12-26,100480.63991487907
2023-12-27,100904.56260405478
2023-12-28,101260.0666133156
2023-12-29,101168.6835521051
2024-01-02,101058.7843352284
2024-01-03,100718.59695770772
2024-01-04,100755.69454473353
2024-01-05,100704.14138030194
2024-01-08,100157.56178197695
2024-01-09,100583.46483811892
2024-01-10,100391.7560536888
2024-01-11,100633.72601703121
2024-01-12,100505.81847458665
2024-01-15,100654.16750008982
2024-01-16,100467.15561150335
2024-01-17,99645.57527090496
2024-01-18,99633.30083314268
2024-01-19,99857.95357400145
2024-01-22,99527.74197545074
2024-01-23,100010.09146066984
2024-01-24,100601.21315397273
2024-01-25,101303.10413358368
2024-01-26,101361.70460179093
2024-01-29,101465.82950214804
2024-01-30,101372.8364105013
2024-01-31,101199.04566409915
2024-02-01,101008.69214562773
2024-02-02,101032.76606129683
2024-02-05,101208.56779443321
2024-02-06,101949.95922116673
2024-02-07,102188.2999278485
2024-02-08,102520.77129524629
2024-02-19,103083.24623440759
2024-02-20,103269.0098480427
2024-02-21,103516.97411294699
2024-02-22,103984.59332508546
2024-02-23,104260.59265151911
2024-02-26,103837.11816779827
2024-02-27,104299.58908976756
2024-02-28,104094.77241142077
2024-02-29,104588.79872803623
2024-03-01,104688.02680157426
2024-03-04,105227.36246176167
2024-03-05,105223.80459489411
2024-03-06,105549.29009334155
2024-03-07,105669.1131825319
2024-03-08,106159.32710106585
2024-03-11,105900.39305254623
2024-03-12,105696.88956287951
2024-03-13,105641.54034116113
2024-03-14,105658.4147626342
2024-03-15,105758.20195743066
2024-03-18,105863.09752862909
2024-03-19,105948.45279690478
2024-03-20,106029.46431150487
2024-03-21,106702.68373821443
2024-03-22,106118.82786750994
2024-03-25,105860.21748290677
2024-03-26,106104.73031344794
2024-03-27,105870.71981721338
2024-03-28,106063.49733855373
2024-03-29,106634.33364394569
2024-04-01,106972.5849008563
2024-04-02,107034.53027933487
2024-04-03,107215.84296795135
2024-04-08,107423.3622806611
2024-04-09,107587.05542545105
2024-04-10,107764.31693798638
2024-04-11,107512.189839716
2024-04-12,107881.11069728508
2024-04-15,107961.0353918264
2024-04-16,107577.66845693783
2024-04-17,107789.5525586206
2024-04-18,107964.41988984456
2024-04-19,107841.83687720368
2024-04-22,107476.77536288698
2024-04-23,107191.24769629881
2024-04-24,107407.79994454462
2024-04-25,107284.4968522483
2024-04-26,107836.59039831658
2024-04-29,107584.62635067472
2024-04-30,107811.7345336815
2024-05-06,108488.83944691095
2024-05-07,108799.91482857887
2024-05-08,108651.7741249298
2024-05-09,108879.3199239775
2024-05-10,109363.85884936707
2024-05-13,109598.60866944166
2024-05-14,109634.97909742701
2024-05-15,109609.51350654066
2024-05-16,110073.32091282532
2024-05-17,110398.87728885308
2024-05-20,111156.92786176171
2024-05-21,110702.01908898565
2024-05-22,110821.84243934245
2024-05-23,110176.62704005415
2024-05-24,109501.87676916849
2024-05-27,110135.23056664322
2024-05-28,110204.01649675384
2024-05-29,110197.03855703797
2024-05-30,109559.33877452469
2024-05-31,109354.94259241768
2024-06-03,109232.76480958283
2024-06-04,109449.11550980769
2024-06-05,109288.07249809768
2024-06-06,109749.39330339618
2024-06-07,109846.79425630339
2024-06-11,109226.92238179533
2024-06-12,109377.61989150896
2024-06-13,109488.00180199988
2024-06-14,109644.26731466336
2024-06-17,109427.0593587694
2024-06-18,109799.71361965517
2024-06-19,110161.81855449214
2024-06-20,110365.08307848846
2024-06-21,109913.67039852156
2024-06-24,109472.87225147727
2024-06-25,109562.87811336831
2024-06-26,109915.68692219249
2024-06-27,109564.85903664904
2024-06-28,110172.43376715273
2024-07-01,109984.12228597749
2024-07-02,110143.23309736015
2024-07-03,110539.0328263069
2024-07-04,110463.34559706243
2024-07-05,110374.19212802447
2024-07-08,110037.8602645949
2024-07-09,110500.57894022399
2024-07-10,110027.06563653558
2024-07-11,110562.81991279965
2024-07-12,110505.80083777496
2024-07-15,110742.30170385355
2024-07-16,110697.70415495847
